제목,개봉일,관객수,누적관객수,누적매출액
쿵푸팬더4,2024.04.10,"19,120","965,930   ","9,056,426,530 "
파묘,2024.02.22,"14,097","11,679,287","112,849,995,39"
남은 인생 10년,2024.04.03,"4,825 ","343,338   ","3,512,642,034 "
댓글부대,2024.03.27,"4,728 ","936,177   ","8,881,234,668 "
범죄도시4,2024.04.24,"4,172 ","13,767    ","156,862,000   "
고스트버스터즈: 오싹한 뉴욕,2024.04.17,"3,699 ","10,184    ","94,328,687    "
오멘: 저주의 시작,2024.04.03,"2,297 ","157,807   ","1,617,439,352 "
듄: 파트2,2024.02.28,"1,404 ","1,972,266 ","23,085,499,374"
고질라 X 콩: 뉴 엠파이어,2024.03.27,858   ,"496,356   ","4,975,544,584 "
아서,2024.04.17,580   ,"1,250     ","9,467,500     "
극장판 스파이 패밀리 코드 : 화이트,2024.03.20,575   ,"276,713   ","2,758,762,096 "
바람의 세월,2024.04.03,476   ,"13,124    ","121,394,327   "
유미의 세포들 더 무비,2024.04.03,462   ,"70,751    ","557,633,660   "
골드핑거,2024.04.10,445   ,"32,709    ","290,219,659   "
소풍,2024.02.07,373   ,"344,026   ","3,068,383,443 "
로봇 드림,2024.03.13,371   ,"36,494    ","358,850,130   "
땅에 쓰는 시,2024.04.17,343   ,"2,309     ","19,240,600    "
비키퍼,2024.04.03,315   ,"100,760   ","940,754,998   "
악은 존재하지 않는다,2024.03.27,313   ,"36,721    ","362,980,609   "
